formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,benchmark_kind,interval_len
5,"G[0,2200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008597541700,0.000000429877,0.429877,general,2200
5,"G[0,2300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008559350060,0.000000427968,0.427968,general,2300
5,"G[0,2400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008488850020,0.000000424443,0.424443,general,2400
5,"G[0,2500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008464610020,0.000000423231,0.423231,general,2500
5,"G[0,2600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008476450840,0.000000423823,0.423823,general,2600
5,"G[0,2700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008575590080,0.000000428780,0.428780,general,2700
5,"G[0,2800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008528354980,0.000000426418,0.426418,general,2800
5,"G[0,2900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008537225900,0.000000426861,0.426861,general,2900
5,"G[0,3000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008556431580,0.000000427822,0.427822,general,3000
5,"G[0,3100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008552654180,0.000000427633,0.427633,general,3100
5,"G[0,3200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008534497580,0.000000426725,0.426725,general,3200
5,"G[0,3300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008526175840,0.000000426309,0.426309,general,3300
5,"G[0,3400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008508861640,0.000000425443,0.425443,general,3400
5,"G[0,3500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008502190000,0.000000425109,0.425109,general,3500
5,"G[0,3600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008405472440,0.000000420274,0.420274,general,3600
5,"G[0,3700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008393490800,0.000000419675,0.419675,general,3700
5,"G[0,3800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008630978340,0.000000431549,0.431549,general,3800
5,"G[0,3900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008485814160,0.000000424291,0.424291,general,3900
5,"G[0,4000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008410875820,0.000000420544,0.420544,general,4000
5,"G[0,4100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008343237480,0.000000417162,0.417162,general,4100
5,"G[0,4200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008363923380,0.000000418196,0.418196,general,4200
5,"G[0,4300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008425162540,0.000000421258,0.421258,general,4300
5,"G[0,4400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008486799980,0.000000424340,0.424340,general,4400
5,"G[0,4500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008397385000,0.000000419869,0.419869,general,4500
5,"G[0,4600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008444363400,0.000000422218,0.422218,general,4600
5,"G[0,4700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008433364920,0.000000421668,0.421668,general,4700
5,"G[0,4800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008352676640,0.000000417634,0.417634,general,4800
