formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,temporal_depth
99,"F[0,4700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008900236679997987,4.450118339998994e-07,0.4450118339998994,4700.0
100,"F[0,4800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008809444840003379,4.4047224200016894e-07,0.44047224200016893,4800.0
101,"F[0,4900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008802024199998187,4.4010120999990934e-07,0.4401012099999093,4900.0
102,"F[0,5000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.009043855899998334,4.5219279499991673e-07,0.4521927949999167,5000.0
103,"(x < 0.0) U[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008010038339996299,4.0050191699981496e-07,0.40050191699981497,1.0
104,"(x < 0.0) U[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.03551020258000222,1.775510129000111e-06,1.775510129000111,100.0
105,"(x < 0.0) U[0,200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0568556175200024,2.84278087600012e-06,2.84278087600012,200.0
106,"(x < 0.0) U[0,300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.07776570428000242,3.888285214000121e-06,3.888285214000121,300.0
107,"(x < 0.0) U[0,400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.09631648740000287,4.815824370000144e-06,4.8158243700001435,400.0
108,"(x < 0.0) U[0,500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.11539431576000311,5.769715788000156e-06,5.769715788000156,500.0
109,"(x < 0.0) U[0,600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.13553690494000079,6.776845247000039e-06,6.77684524700004,600.0
110,"(x < 0.0) U[0,700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.15507406510000465,7.753703255000233e-06,7.753703255000232,700.0
111,"(x < 0.0) U[0,800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.17425112585999727,8.712556292999864e-06,8.712556292999864,800.0
112,"(x < 0.0) U[0,900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.19207299247999912,9.603649623999956e-06,9.603649623999956,900.0
113,"(x < 0.0) U[0,1000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.21221597587999896,1.0610798793999948e-05,10.610798793999948,1000.0
114,"(x < 0.0) U[0,1100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.23068532159999905,1.1534266079999952e-05,11.534266079999952,1100.0
115,"(x < 0.0) U[0,1200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2512901166800009,1.2564505834000044e-05,12.564505834000045,1200.0
116,"(x < 0.0) U[0,1300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.26899834489999874,1.3449917244999938e-05,13.449917244999938,1300.0
117,"(x < 0.0) U[0,1400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.28840678586000307,1.4420339293000153e-05,14.420339293000152,1400.0
118,"(x < 0.0) U[0,1500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.30431779163999634,1.5215889581999817e-05,15.215889581999818,1500.0
119,"(x < 0.0) U[0,1600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3232869333999952,1.616434666999976e-05,16.164346669999762,1600.0
120,"(x < 0.0) U[0,1700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.33989394502000553,1.6994697251000277e-05,16.99469725100028,1700.0
121,"(x < 0.0) U[0,1800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3591283808000071,1.7956419040000353e-05,17.956419040000352,1800.0
122,"(x < 0.0) U[0,1900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.37430316499999433,1.8715158249999716e-05,18.715158249999718,1900.0
123,"(x < 0.0) U[0,2000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3935552474799988,1.967776237399994e-05,19.67776237399994,2000.0
124,"(x < 0.0) U[0,2100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4106223892199955,2.0531119460999775e-05,20.531119460999776,2100.0
125,"(x < 0.0) U[0,2200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.42878946086000724,2.1439473043000363e-05,21.439473043000362,2200.0
126,"(x < 0.0) U[0,2300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.44255576744000336,2.212778837200017e-05,22.12778837200017,2300.0
127,"(x < 0.0) U[0,2400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.46058677500000156,2.302933875000008e-05,23.02933875000008,2400.0
128,"(x < 0.0) U[0,2500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4758578241399914,2.379289120699957e-05,23.79289120699957,2500.0
129,"(x < 0.0) U[0,2600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4920217625400005,2.4601088127000025e-05,24.601088127000025,2600.0
130,"(x < 0.0) U[0,2700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5068331808799985,2.5341659043999926e-05,25.341659043999925,2700.0
131,"(x < 0.0) U[0,2800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5222948625399954,2.6114743126999767e-05,26.114743126999766,2800.0
132,"(x < 0.0) U[0,2900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5372585217399933,2.6862926086999666e-05,26.862926086999668,2900.0
133,"(x < 0.0) U[0,3000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5517839182999864,2.758919591499932e-05,27.589195914999323,3000.0
134,"(x < 0.0) U[0,3100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5709536174800018,2.854768087400009e-05,28.54768087400009,3100.0
135,"(x < 0.0) U[0,3200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5839219808599933,2.9196099042999662e-05,29.196099042999663,3200.0
136,"(x < 0.0) U[0,3300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.6002030466600058,3.0010152333000288e-05,30.01015233300029,3300.0
137,"(x < 0.0) U[0,3400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.6157113900000035,3.0785569500000175e-05,30.785569500000175,3400.0
138,"(x < 0.0) U[0,3500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.63084767414,3.1542383707e-05,31.542383707000003,3500.0
