timestamp,sizeN,M,approach,mean_elapsed_s,std_elapsed_s,formula,all_means
2025-12-15 14:36:35,5000,10,strict,1.525031,0.006099,"(ev_[0,10] (alw_[0,10] (ev_[0,10] (alw_[0,10] (x[t] > 0)))))","[1.525415357;1.526068877;1.525251046;1.519700712;1.540944193;1.525763415;1.522527323;1.52179487;1.519352824;1.523496131]"
2025-12-15 14:37:24,5000,10,rosi,4.849657,0.036846,"ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](x[t] > 0))))))","[4.84806436000001;4.83207338999999;4.828012884;4.82931592499998;4.83402494800001;4.94971282999999;4.863341058;4.84002354999999;4.843616877;4.82838068999999]"
2025-12-15 14:37:48,5000,10,strict,2.461490,0.012476,"ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](x[t] > 0))))))","[2.488280902;2.476687996;2.466827444;2.456607654;2.45310038;2.455130942;2.45431159899999;2.46230120200001;2.448679241;2.452968524]"
2025-12-15 14:39:23,5000,10,rosi,9.420600,0.032024,"ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](x[t] > 0))))))))))","[9.42111550600001;9.40886719100001;9.42241945100001;9.40533887299998;9.38926443400001;9.484683582;9.47094058599998;9.409016078;9.39644846400001;9.39790162699998]"
2025-12-15 14:40:11,5000,10,strict,4.794935,0.011823,"ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](ev_[0, 10](alw_[0, 10](x[t] > 0))))))))))","[4.82382495399999;4.795300729;4.790551813;4.78937018100001;4.78563106899999;4.789786948;4.78658586499999;4.79317890699999;4.78824638299999;4.806873221]"
2025-12-15 14:42:52,5000,10,rosi,16.026147,0.072976,"((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))","[16.031287968;16.053808386;16.056729732;16.131587245;16.037961675;15.973322911;16.029928163;16.040965121;16.055896921;15.849977098]"
2025-12-15 14:44:12,5000,10,strict,8.045135,0.056375,"((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))","[7.956260968;8.02445517299999;8.04489804800002;8.078848858;8.10929740900001;8.01239131900001;8.05919790699998;8.02431367699999;8.14829696000001;7.99338994600001]"
2025-12-15 14:50:31,5000,10,rosi,37.881871,0.211570,"(((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))","[37.8588107180001;38.040476773;38.06902955;38.0074492530001;37.8544689860001;37.652334165;38.230717734;37.771068063;37.820103722;37.514247016]"
2025-12-15 14:53:40,5000,10,strict,18.891249,0.054392,"(((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))","[18.914760747;18.93088214;18.808170805;18.923660148;18.995963613;18.844861865;18.900142061;18.867380649;18.888098137;18.838571406]"
2025-12-15 15:22:02,5000,10,rosi,170.086221,0.407056,"(((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))) until_[0, 10] ((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))))) until_[0, 10] (((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))) until_[0, 10] ((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))))","[169.975048359;169.797963016;170.304722259;169.522892105;169.696662101;169.862888484;170.360500374;170.812753743;170.549449655;169.97932943]"
2025-12-15 15:36:10,5000,10,strict,84.813344,0.476350,"(((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))) until_[0, 10] ((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))))) until_[0, 10] (((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))) until_[0, 10] ((((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0))) until_[0, 10] (((x[t] > 0) until_[0, 10] (x[t] > 0)) until_[0, 10] ((x[t] > 0) until_[0, 10] (x[t] > 0)))))","[84.995432701;84.604275803;84.345336078;84.1720816229999;84.202777805;84.6872249709999;85.0601747239998;85.394777112;85.3064145390002;85.3649434949998]"
