timestamp,sizeN,M,approach,mean_elapsed_s,std_elapsed_s,formula,all_means
2025-12-02 16:43:10,10000,50,online,8.931861,0.016447,"(x[t]<0.5) or (x[t]>-0.5)","[9.00192195833333;8.92139183333333;8.941674375;8.94626845833333;8.91146220833333;8.912711;8.93793870833333;8.946536;8.95063291666667;8.90875370833333;8.93150008333333;8.91304133333333;8.91549795833333;8.93077079166667;8.911837;8.936176875;8.94510891666667;8.926851375;8.91618754166667;8.927068;8.93846554166667;8.94780366666667;8.93838983333333;8.94233916666667;8.93164645833333;8.91125629166667;8.94035691666667;8.91424470833333;8.93087616666667;8.934117;8.927807;8.919606875;8.91509654166667;8.93995554166667;8.949161375;8.932691;8.92752083333333;8.93902391666667;8.94054275;8.913055375;8.95123958333333;8.928635;8.934215;8.94019295833333;8.90432679166667;8.93946566666667;8.91908945833333;8.92769745833333;8.953075;8.92783775]"
2025-12-02 16:58:05,20000,50,online,17.885251,0.051931,"(x[t]<0.5) or (x[t]>-0.5)","[17.8863320416667;17.8823804583333;17.9360192083333;17.8742783333333;17.8955731666667;17.9017352916667;18.0354885833333;18.1527353333333;17.9784424583333;17.906106625;17.8686696666667;17.9199972916667;17.9165911666667;17.8714865;17.8634605833333;17.874051625;17.8850608333333;17.8668723333333;17.884167;17.86249275;17.8495797083333;17.8906722083333;17.87114925;17.8686304583333;17.8586132083333;17.9325864583333;17.8673655833333;17.8411927916667;17.8763280833333;17.8688800416667;17.88391825;17.84458625;17.9108377916667;17.874844125;17.866369875;17.8717448333333;17.8558934166667;17.8481029166667;17.8412375833333;17.8584066666667;17.8559148333333;17.8504395416667;17.863963875;17.856664;17.8633494583333;17.8849839583333;17.8590922916667;17.8464288333333;17.8698475;17.8689895833333]"
2025-12-02 17:01:56,5000,50,classic,4.616364,0.010394,"(x[t]<0.5) or (x[t]>-0.5)","[4.65128466666667;4.61509445833333;4.61480258333333;4.60234066666667;4.60708154166667;4.60729316666667;4.61044745833333;4.62358333333333;4.61946641666667;4.62146541666667;4.62933233333333;4.61903616666667;4.61374275;4.62079791666667;4.60929245833333;4.6219495;4.63401320833333;4.60950483333333;4.61783104166667;4.61904933333333;4.60991020833333;4.62394433333333;4.62219995833333;4.608699125;4.601810875;4.61733541666667;4.63125891666667;4.60403275;4.61659904166667;4.60749454166667;4.61677954166667;4.616332875;4.60998075;4.60274641666667;4.63168420833333;4.611920625;4.61127454166667;4.62938025;4.61235254166667;4.611183625;4.60540320833333;4.6023675;4.621391875;4.60396720833333;4.61395920833333;4.61656304166667;4.60748154166667;4.629447125;4.64066429166667;4.61263004166667]"
2025-12-02 17:09:37,10000,50,classic,9.237597,0.018488,"(x[t]<0.5) or (x[t]>-0.5)","[9.28583645833333;9.26666845833333;9.21968383333333;9.22834795833333;9.22623925;9.25695466666667;9.239876;9.26606558333333;9.23196945833333;9.24463866666667;9.23129233333333;9.22654725;9.24302570833333;9.24042770833333;9.22245279166667;9.22530825;9.22354383333333;9.216353625;9.22995304166667;9.247933;9.24949225;9.2117315;9.24007183333333;9.23226854166667;9.23531058333333;9.22896541666667;9.230196125;9.22696904166667;9.24502745833333;9.220240125;9.22598908333333;9.24093375;9.24280058333333;9.22677908333333;9.23075691666667;9.230307375;9.24869120833333;9.245603375;9.22452108333333;9.25354508333333;9.21623804166667;9.22300441666667;9.239721875;9.31843379166667;9.23820120833333;9.25015466666667;9.23350208333333;9.24809758333333;9.217811875;9.23134933333333]"
2025-12-02 17:25:01,20000,50,classic,18.476508,0.046844,"(x[t]<0.5) or (x[t]>-0.5)","[18.5381599166667;18.4538592083333;18.4474546666667;18.4354899583333;18.4983354166667;18.458520375;18.46239375;18.488804;18.4884840416667;18.4590703333333;18.4344354583333;18.4645978333333;18.4465412083333;18.5161265416667;18.4677260833333;18.45549525;18.4455472083333;18.49132425;18.4438417083333;18.46120625;18.4433902083333;18.487083375;18.4330786666667;18.469054375;18.4349660833333;18.4579263333333;18.4684459583333;18.4594164583333;18.470783875;18.450952625;18.466333625;18.4626632083333;18.4808819583333;18.452120125;18.46432675;18.4408776666667;18.4805904583333;18.640728375;18.6926079583333;18.5382608333333;18.4650083333333;18.4651277083333;18.5316355;18.4964305416667;18.4395539166667;18.4810825833333;18.461030375;18.469285375;18.472768;18.4915845833333]"
2025-12-02 17:26:12,5000,50,thom,1.408412,0.016863,"(x[t]<0.5) or (x[t]>-0.5)","[1.50464929166667;1.40680404166667;1.39421479166667;1.39983925;1.41391491666667;1.40594191666667;1.406724875;1.41711666666667;1.41536495833333;1.40763425;1.391240125;1.40349408333333;1.40622779166667;1.40516895833333;1.39341029166667;1.400940125;1.397346875;1.40812575;1.40839854166667;1.38127020833333;1.397195875;1.40369829166667;1.402662;1.39836766666667;1.403020875;1.42449391666667;1.4229125;1.41568354166667;1.39409033333333;1.42103983333333;1.41201508333333;1.40965045833333;1.4304855;1.411513;1.41434504166667;1.41021791666667;1.398106875;1.39763041666667;1.40809704166667;1.41055879166667;1.40207883333333;1.41415466666667;1.411646625;1.41991733333333;1.4124015;1.39016020833333;1.40080029166667;1.40742525;1.41200491666667;1.39637483333333]"
2025-12-02 17:28:33,10000,50,thom,2.815185,0.013676,"(x[t]<0.5) or (x[t]>-0.5)","[2.87168866666667;2.80973245833333;2.84077308333333;2.79806970833333;2.82159604166667;2.81452975;2.816405625;2.81589745833333;2.80989745833333;2.825067125;2.79369958333333;2.80105125;2.81202875;2.81096325;2.81603604166667;2.82527320833333;2.818054;2.833726375;2.825689375;2.809411;2.80783858333333;2.805344;2.836660125;2.81446833333333;2.81633483333333;2.81647970833333;2.823523125;2.81251383333333;2.80537604166667;2.82707720833333;2.79792316666667;2.82619720833333;2.80602291666667;2.8233995;2.80176083333333;2.823439875;2.80454375;2.80354691666667;2.80933079166667;2.80255566666667;2.819231125;2.80595270833333;2.815913375;2.80846508333333;2.81752620833333;2.79959970833333;2.79998420833333;2.79859620833333;2.82851725;2.8315465]"
2025-12-02 17:33:15,20000,50,thom,5.641046,0.021126,"(x[t]<0.5) or (x[t]>-0.5)","[5.65992070833333;5.66117125;5.619505125;5.63311283333333;5.637095375;5.65773183333333;5.639901;5.62184670833333;5.640876;5.63664154166667;5.65662070833333;5.64525258333333;5.669752875;5.63794933333333;5.619656875;5.60664458333333;5.63433716666667;5.63679795833333;5.63063758333333;5.63718695833333;5.63346579166667;5.658791;5.61996804166667;5.646032625;5.60959070833333;5.62585420833333;5.64982745833333;5.62534995833333;5.63874245833333;5.65493370833333;5.65111933333333;5.63029058333333;5.638645125;5.6160665;5.63094633333333;5.603974875;5.63616283333333;5.644544125;5.64900054166667;5.636722625;5.66177208333333;5.673505875;5.73147241666667;5.62787083333333;5.66374908333333;5.67581483333333;5.628467;5.64329333333333;5.62634195833333;5.63735275]"
2025-12-02 17:36:36,5000,50,online,4.025800,0.011977,"not (x[t]<0.5)","[4.07439283333333;4.04151254166667;4.03763329166667;4.03899479166667;4.02628629166667;4.04046108333333;4.02750725;4.01375741666667;4.0431355;4.02049566666667;4.018862;4.03306658333333;4.03105175;4.02324454166667;4.02540595833333;4.020505625;4.006467125;4.01825466666667;4.02379175;4.03390366666667;4.016375375;4.02526925;4.01814175;4.035318625;4.035498;4.00834283333333;4.03094925;4.04604895833333;4.006082875;4.01351566666667;4.02534275;4.01524333333333;4.02512470833333;4.03463125;4.02310391666667;4.02035791666667;4.01625325;4.040953625;4.02612179166667;4.02446441666667;4.01632516666667;4.02812195833333;4.01959425;4.01484983333333;4.02190854166667;4.02682758333333;4.010798875;4.02481641666667;4.024615625;4.016281375]"
2025-12-02 17:43:18,10000,50,online,8.041427,0.011991,"not (x[t]<0.5)","[8.07724529166667;8.03971658333333;8.04509983333333;8.03993675;8.01931541666667;8.03910004166667;8.032384625;8.03300958333333;8.06968333333333;8.04392504166667;8.05181625;8.05532858333333;8.03700966666667;8.0471695;8.03563670833333;8.02424191666667;8.05435866666667;8.02607233333333;8.03659175;8.03134820833333;8.02102333333333;8.04217958333333;8.03446270833333;8.03613633333333;8.04119970833333;8.04384058333333;8.02911604166667;8.05670270833333;8.03233933333333;8.034010625;8.037569625;8.03897633333333;8.05406641666667;8.054324125;8.03090229166667;8.03945858333333;8.034221375;8.02452808333333;8.05504258333333;8.04979879166667;8.03580875;8.05002470833333;8.04691154166667;8.04284479166667;8.03736458333333;8.02699079166667;8.05846445833333;8.03941366666667;8.05976745833333;8.04487704166667]"
